"ID","SX","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","LAYOUT","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLEVAL","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","CONF","update_stamp"
"1758","","RNASAME","CONSENTS","Consent Tracking","","Check if:","","","T","20","0","","","1","","1=Separate consent document used from that reported in 3a (overall study participation).","","check; indent=1; subquestion_trigger=(rnacoll:0,1); letpass","17087","75","","","K","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1759","","RNAIRB","CONSENTS","Consent Tracking","","Consent IRB approval date:","","","D","10","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'RNASAME'},$_n,$_m)&&(index($vals{'RNASAME'},1)>-1))&&($vals{$x}==$_n)){'Error :  Based on main question response to this field is required. ';}elsif(((in($vals{'RNASAME'},$_n,$_m)||index($vals{'RNASAME'},1)==-1))&&($vals{$x}!=$_n)){'Error :  Based on main question , please leave this field blank.';}elsif(((in($vals{'RNASAME'},$_n,$_m)||index($vals{'RNASAME'},1)==-1))&&($vals{$x}==$_n)){return(1);}elsif(in($vals{$x},$_m)){1;}elsif(date_validate('date'=>$vals{$x})>0&&date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800')>0){1;}else{'Error :  Date is not valid. Please review.';}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(rnasame:1)","17087","76","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1760","","RNAEXP","CONSENTS","Consent Tracking","","Consent IRB expiration date:","","","D","10","0","","","my$consent=$vals{'RNACOLL'};my$same=$vals{'RNASAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}eq$_n){return qq{Error: Response is required. Please complete.};}elsif($vals{$x}eq$_m){return 1;}elsif(date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800','upper_date'=>'12/31/2099')>0){return 1;}else{return qq{Error: Invalid date.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(rnasame:1); rangeperl","17087","77","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1761","","RNAVRS","CONSENTS","Consent Tracking","","Site version of consent:","","","T","50","0","","","my$consent=$vals{'RNACOLL'};my$same=$vals{'RNASAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}ne$_n){return 1;}else{return qq{Error: Response is required. Please complete.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","","","","text; indent=1; subquestion_trigger=(rnasame:1); rangeperl","17087","78","","","T","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1762","","RNADET","CONSENTS","Consent Tracking","","Reason for nonconsent:","","","T","1000","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'RNACOLL'},0))&&($vals{$x}!=$_n)){return('Error :  Based on main question , please leave this field blank.');}else{return(1);}","","","","paragraph; indent=1; subquestion_trigger=(rnacoll:0)","17087","79","","","P","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1763","","RNASS","CONSENTS","Consent Tracking","","3l. Store and share RNA","","","N","1","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif(in($vals{$x},1,0,2)||in($vals{$x},$_m)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","1=Yes; 0=No; 2=n/a","","radio","17087","80","","","R","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1764","","RNASSSAME","CONSENTS","Consent Tracking","","Check if:","","","T","20","0","","","1","","1=Separate consent document used from that reported in 3a (overall study participation).","","check; indent=1; subquestion_trigger=(rnass:0,1); letpass","17087","81","","","K","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1765","","RNASSIRB","CONSENTS","Consent Tracking","","Consent IRB approval date:","","","D","10","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'RNASSSAME'},$_n,$_m)&&(index($vals{'RNASSSAME'},1)>-1))&&($vals{$x}==$_n)){'Error :  Based on main question response to this field is required. ';}elsif(((in($vals{'RNASSSAME'},$_n,$_m)||index($vals{'RNASSSAME'},1)==-1))&&($vals{$x}!=$_n)){'Error :  Based on main question , please leave this field blank.';}elsif(((in($vals{'RNASSSAME'},$_n,$_m)||index($vals{'RNASSSAME'},1)==-1))&&($vals{$x}==$_n)){return(1);}elsif(in($vals{$x},$_m)){1;}elsif(date_validate('date'=>$vals{$x})>0&&date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800')>0){1;}else{'Error :  Date is not valid. Please review.';}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(rnasssame:1)","17087","82","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1766","","RNASSEXP","CONSENTS","Consent Tracking","","Consent IRB expiration date:","","","D","10","0","","","my$consent=$vals{'RNASS'};my$same=$vals{'RNASSSAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}eq$_n){return qq{Error: Response is required. Please complete.};}elsif($vals{$x}eq$_m){return 1;}elsif(date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800','upper_date'=>'12/31/2099')>0){return 1;}else{return qq{Error: Invalid date.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(rnasssame:1); rangeperl","17087","83","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1767","","RNASSVRS","CONSENTS","Consent Tracking","","Site version of consent:","","","T","50","0","","","my$consent=$vals{'RNASS'};my$same=$vals{'RNASSSAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}ne$_n){return 1;}else{return qq{Error: Response is required. Please complete.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","","","","text; indent=1; subquestion_trigger=(rnasssame:1); rangeperl","17087","84","","","T","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1768","","RNASSDET","CONSENTS","Consent Tracking","","Reason for nonconsent:","","","T","1000","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'RNASS'},0))&&($vals{$x}!=$_n)){return('Error :  Based on main question , please leave this field blank.');}else{return(1);}","","","","paragraph; indent=1; subquestion_trigger=(rnass:0)","17087","85","","","P","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1769","","BLBIOCOLL","CONSENTS","Consent Tracking","","3m. Blood biomarker sample collection","","","N","1","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif(in($vals{$x},1,0,2)||in($vals{$x},$_m)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","1=Yes; 0=No; 2=n/a","","radio","17087","86","","","R","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1770","","BLBIOSAME","CONSENTS","Consent Tracking","","Check if:","","","T","20","0","","","1","","1=Separate consent document used from that reported in 3a (overall study participation).","","check; indent=1; subquestion_trigger=(blbiocoll:0,1); letpass","17087","87","","","K","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1771","","BLBIOIRB","CONSENTS","Consent Tracking","","Consent IRB approval date:","","","D","10","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'BLBIOSAME'},$_n,$_m)&&(index($vals{'BLBIOSAME'},1)>-1))&&($vals{$x}==$_n)){'Error :  Based on main question response to this field is required. ';}elsif(((in($vals{'BLBIOSAME'},$_n,$_m)||index($vals{'BLBIOSAME'},1)==-1))&&($vals{$x}!=$_n)){'Error :  Based on main question , please leave this field blank.';}elsif(((in($vals{'BLBIOSAME'},$_n,$_m)||index($vals{'BLBIOSAME'},1)==-1))&&($vals{$x}==$_n)){return(1);}elsif(in($vals{$x},$_m)){1;}elsif(date_validate('date'=>$vals{$x})>0&&date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800')>0){1;}else{'Error :  Date is not valid. Please review.';}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(blbiosame:1)","17087","88","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1772","","BLBIOEXP","CONSENTS","Consent Tracking","","Consent IRB expiration date:","","","D","10","0","","","my$consent=$vals{'BLBIOCOLL'};my$same=$vals{'BLBIOSAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}eq$_n){return qq{Error: Response is required. Please complete.};}elsif($vals{$x}eq$_m){return 1;}elsif(date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800','upper_date'=>'12/31/2099')>0){return 1;}else{return qq{Error: Invalid date.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(blbiosame:1); rangeperl","17087","89","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1773","","BLBIOVRS","CONSENTS","Consent Tracking","","Site version of consent:","","","T","50","0","","","my$consent=$vals{'BLBIOCOLL'};my$same=$vals{'BLBIOSAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}ne$_n){return 1;}else{return qq{Error: Response is required. Please complete.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","","","","text; indent=1; subquestion_trigger=(blbiosame:1); rangeperl","17087","90","","","T","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1774","","BLBIODET","CONSENTS","Consent Tracking","","Reason for nonconsent:","","","T","1000","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'BLBIOCOLL'},0))&&($vals{$x}!=$_n)){return('Error :  Based on main question , please leave this field blank.');}else{return(1);}","","","","paragraph; indent=1; subquestion_trigger=(blbiocoll:0)","17087","91","","","P","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1775","","BLBIOSS","CONSENTS","Consent Tracking","","3n. Store and share blood biomarkers","","","N","1","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif(in($vals{$x},1,0,2)||in($vals{$x},$_m)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","1=Yes; 0=No; 2=n/a","","radio","17087","92","","","R","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1776","","BLBIOSSAME","CONSENTS","Consent Tracking","","Check if:","","","T","20","0","","","1","","1=Separate consent document used from that reported in 3a (overall study participation).","","check; indent=1; subquestion_trigger=(blbioss:0,1); letpass","17087","93","","","K","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1777","","BLBIOSSIRB","CONSENTS","Consent Tracking","","Consent IRB approval date:","","","D","10","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'BLBIOSSAME'},$_n,$_m)&&(index($vals{'BLBIOSSAME'},1)>-1))&&($vals{$x}==$_n)){'Error :  Based on main question response to this field is required. ';}elsif(((in($vals{'BLBIOSSAME'},$_n,$_m)||index($vals{'BLBIOSSAME'},1)==-1))&&($vals{$x}!=$_n)){'Error :  Based on main question , please leave this field blank.';}elsif(((in($vals{'BLBIOSSAME'},$_n,$_m)||index($vals{'BLBIOSSAME'},1)==-1))&&($vals{$x}==$_n)){return(1);}elsif(in($vals{$x},$_m)){1;}elsif(date_validate('date'=>$vals{$x})>0&&date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800')>0){1;}else{'Error :  Date is not valid. Please review.';}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(blbiossame:1)","17087","94","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1778","","BLBIOSSEXP","CONSENTS","Consent Tracking","","Consent IRB expiration date:","","","D","10","0","","","my$consent=$vals{'BLBIOSS'};my$same=$vals{'BLBIOSSAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}eq$_n){return qq{Error: Response is required. Please complete.};}elsif($vals{$x}eq$_m){return 1;}elsif(date_range_compare('date'=>$vals{$x},'lower_date'=>'01/01/1800','upper_date'=>'12/31/2099')>0){return 1;}else{return qq{Error: Invalid date.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","MM/DD/YYYY","","","date_strict; default=-4;  indent=1; subquestion_trigger=(blbiossame:1); rangeperl","17087","95","","","DS","1","","0","","","","","","","","-4","{}","2015-01-05 10:24:14.0"
"1779","","BLBIOSSVRS","CONSENTS","Consent Tracking","","Site version of consent:","","","T","50","0","","","my$consent=$vals{'BLBIOSS'};my$same=$vals{'BLBIOSSAME'};if($vals{'RECNO'}<0){return 1;}elsif($consent==1||is_zero($consent)){if($same eq '1'){if($vals{$x}ne$_n){return 1;}else{return qq{Error: Response is required. Please complete.};}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}}else{if($vals{$x}eq$_n){return 1;}else{return qq{Error: Response is not allowed. Please review.};}}","","","","text; indent=1; subquestion_trigger=(blbiossame:1); rangeperl","17087","96","","","T","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1780","","BLBIOSSDET","CONSENTS","Consent Tracking","","Reason for nonconsent:","","","T","1000","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'BLBIOSS'},0))&&($vals{$x}!=$_n)){return('Error :  Based on main question , please leave this field blank.');}else{return(1);}","","","","paragraph; indent=1; subquestion_trigger=(blbioss:0); grid_end","17087","97","","","P","1","","0","","","","","","","-1","","{}","2015-01-05 10:24:14.0"
"1781","","HIPAA","CONSENTS","Consent Tracking","","3o. HIPAA Authorization","","","N","1","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif(in($vals{$x},1,0,2)||in($vals{$x},$_m)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","1=Yes; 0=No/Authorization Withdrawn; 2=n/a, not reviewed this date","","radio; grid_start; grid_border=1; grid_cols=3; logmenu","17087","98","","","R","","","0","","","1","","","","3:1:0:","","{}","2015-01-05 10:24:14.0"
"1782","","HIPAASAME","CONSENTS","Consent Tracking","","Check if:","","","T","20","0","","","1","","1=Separate, stand-alone HIPAA Authorization is used.","","check; indent=1; subquestion_trigger=(hipaa:0,1); letpass","17087","99","","","K","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1783","","HIPAADET","CONSENTS","Consent Tracking","","Reason for no authorization:","","","T","1000","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((notin($vals{'HIPAA'},0))&&($vals{$x}!=$_n)){return('Error :  Based on main question , please leave this field blank.');}else{return(1);}","","","","paragraph; indent=1; subquestion_trigger=(hipaa:0); grid_end","17087","100","","","P","1","","0","","","","","","","-1","","{}","2015-01-05 10:24:14.0"
"1784","","ID","HIERARCHY","Meddra Hierarchy","","","","","N","38","0","","","","","""crfname"",""Meddra Hierarchy"",""indexes"",""dodadni_hierarchy_idx=PT_CODE,HLT_CODE,HLGT_CODE,SOC_CODE"",""notnullcols"",""ID,USERID,USERDATE,PT_CODE,HLT_CODE,HLGT_CODE,SOC_CODE,PT_NAME,HLT_NAME,HLGT_NAME,SOC_NAME,SOC_ABBREV""","","table_type=admin","17166","1","","","2","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1785","","SX","HIERARCHY","Meddra Hierarchy","","","","","N","10 digits","0","","","","","","","","17166","2","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1786","","USERID","HIERARCHY","Meddra Hierarchy","","","","","T","100 characters","0","","","","","","","","17166","3","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1787","","USERDATE","HIERARCHY","Meddra Hierarchy","","","","","S","100 digits","0","","","","","","","","17166","4","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1788","","USERID2","HIERARCHY","Meddra Hierarchy","","","","","T","100 characters","0","","","","","","","","17166","5","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1789","","USERDATE2","HIERARCHY","Meddra Hierarchy","","","","","S","100 digits","0","","","","","","","","17166","6","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1790","","PT_CODE","HIERARCHY","Meddra Hierarchy","","","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17166","7","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1791","","HLT_CODE","HIERARCHY","Meddra Hierarchy","","","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17166","8","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1792","","HLGT_CODE","HIERARCHY","Meddra Hierarchy","","","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17166","9","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1793","","SOC_CODE","HIERARCHY","Meddra Hierarchy","","","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17166","10","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1794","","PT_NAME","HIERARCHY","Meddra Hierarchy","","","","","T","100","0","","","1","","","","","17166","11","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1795","","HLT_NAME","HIERARCHY","Meddra Hierarchy","","","","","T","100","0","","","1","","","","","17166","12","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1796","","HLGT_NAME","HIERARCHY","Meddra Hierarchy","","","","","T","100","0","","","1","","","","","17166","13","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1797","","SOC_NAME","HIERARCHY","Meddra Hierarchy","","","","","T","100","0","","","1","","","","","17166","14","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1798","","SOC_ABBREV","HIERARCHY","Meddra Hierarchy","","","","","T","5","0","","","1","","","","","17166","15","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1799","","PT_SOC_C","HIERARCHY","Meddra Hierarchy","","original: PT_SOC_CODE","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17166","16","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1800","","PRM_SOC_FG","HIERARCHY","Meddra Hierarchy","","original: PRIMARY_SOC_FG","","","T","2","0","","","1","","","","","17166","17","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1801","","CURRENCY","HIERARCHY","Meddra Hierarchy","","","","","T","2","0","","","1","","","","","17166","18","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1802","","ID","TERM","Meddra Term","","","","","N","38","0","","","","","""crfname"",""Meddra Term"",""indexes"",""dodadni_term_idx=TERM,CODE"",""notnullcols"",""ID,USERID,USERDATE,TERM,CODE,NAME""","","table_type=admin","17777","1","","","2","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1803","","SX","TERM","Meddra Term","","","","","N","10 digits","0","","","","","","","","17777","2","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1804","","USERID","TERM","Meddra Term","","","","","T","100 characters","0","","","","","","","","17777","3","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1805","","USERDATE","TERM","Meddra Term","","","","","S","100 digits","0","","","","","","","","17777","4","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1806","","USERID2","TERM","Meddra Term","","","","","T","100 characters","0","","","","","","","","17777","5","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1807","","USERDATE2","TERM","Meddra Term","","","","","S","100 digits","0","","","","","","","","17777","6","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1808","","TERM","TERM","Meddra Term","","","","","T","5","0","","","1","","","","","17777","7","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1809","","CODE","TERM","Meddra Term","","","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17777","8","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1810","","NAME","TERM","Meddra Term","","","","","T","100","0","","","1","","","","","17777","9","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1811","","PT_CODE","TERM","Meddra Term","","","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17777","10","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1812","","WHOART_C","TERM","Meddra Term","","original: WHOART_CODE","","","T","38","0","","","1","","","","","17777","11","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1813","","HARTS_CODE","TERM","Meddra Term","","","","","N","38","0","","","if(notin($vals{$x},$_n)){1;}else{'Error :  Field is required. Please complete.';}","","","","","17777","12","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1814","","COSTARTSYM","TERM","Meddra Term","","original: COSTART_SYM","","","T","100","0","","","1","","","","","17777","13","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1815","","ICD9_CODE","TERM","Meddra Term","","","","","T","8","0","","","1","","","","","17777","14","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1816","","ICD9CM_C","TERM","Meddra Term","","original: ICD9CM_CODE","","","T","8","0","","","1","","","","","17777","15","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1817","","ICD10_CODE","TERM","Meddra Term","","","","","T","8","0","","","1","","","","","17777","16","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1818","","JART_CODE","TERM","Meddra Term","","","","","T","6","0","","","1","","","","","17777","17","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1819","","CURRENCY","TERM","Meddra Term","","","","","T","2","0","","","1","","","","","17777","18","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1820","","ID","MRIMETA","3T MRI Scan Information","","","","","N","38","0","","","","","""crfname"",""3T MRI Scan Information"",""indexes"",""dodadni_mrimeta_idx=RID,VISCODE,ENTRY,RECNO"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE,RECNO""","1","log_by_visit; subquestion_trigger_off; reason_for_change","17292","1","","","4","","","0","","","1","","","","","","{""reason_for_change"":""1""}","2015-01-05 10:24:14.0"
"1821","","SX","MRIMETA","3T MRI Scan Information","","","","","N","10 digits","0","","","","","","","","17292","2","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1822","","RID","MRIMETA","3T MRI Scan Information","","","","","N","38 digits","0","","","","","","","","17292","3","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1823","","SITEID","MRIMETA","3T MRI Scan Information","","","","","N","38 digits","0","","","","","","","","17292","4","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1824","","VISCODE","MRIMETA","3T MRI Scan Information","","","","","T","20 characters","0","","","","","","","","17292","5","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1825","","ENTRY","MRIMETA","3T MRI Scan Information","","","","","N","1 digit","0","","","","","","","","17292","6","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1826","","VERIFY","MRIMETA","3T MRI Scan Information","","","","","N","1 digit","0","","","","","","","","17292","7","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1827","","USERID","MRIMETA","3T MRI Scan Information","","","","","T","100 characters","0","","","","","","","","17292","8","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1828","","USERDATE","MRIMETA","3T MRI Scan Information","","","","","S","100 digits","0","","","","","","","","17292","9","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1829","","USERID2","MRIMETA","3T MRI Scan Information","","","","","T","100 characters","0","","","","","","","","17292","10","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1830","","USERDATE2","MRIMETA","3T MRI Scan Information","","","","","S","100 digits","0","","","","","","","","17292","11","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1831","","RECNO","MRIMETA","3T MRI Scan Information","","","","","N","38 digits","0","","","","","","","","17292","12","","","","","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
"1832","","MMCONDCT","MRIMETA","3T MRI Scan Information","","Was the scan conducted?","","","N","1","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif(in($vals{$x},1,0)||in($vals{$x},$_m)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","1=Yes;0=No","","radio; logmenu","17292","13","","","R","","","0","","","1","","","","","","{}","2015-01-05 10:24:14.0"
"1833","","MMREASON","MRIMETA","3T MRI Scan Information","","If No, please provide reason why the scan was not conducted:","","","N","1","0","","","if($vals{'RECNO'}<0&&$vals{$x}==$_n){return(1);}elsif((in($vals{'MMCONDCT'},0))&&($vals{$x}==$_n)){'Error :  Based on main question response to this field is required. ';}elsif((notin($vals{'MMCONDCT'},0))&&($vals{$x}!=$_n)){'Error :  Based on main question , please leave this field blank.';}elsif((notin($vals{'MMCONDCT'},0))&&($vals{$x}==$_n)){return(1);}elsif(in($vals{$x},1,2,3,4,5,6)||in($vals{$x},$_m)){1;}elsif(in($vals{$x},$_n)){'Error :  Field is required. Please complete.';}else{'Error :  Value entered is out of range.';}","","1=Illness;2=Participant unavailable;3=Participant unwilling;4=Administrative problems;5=Withdrawn consent;6=Other (specify)","","radio; indent=1; subquestion_trigger=(mmcondct:0)","17292","14","","","R","1","","0","","","","","","","","","{}","2015-01-05 10:24:14.0"
